RecordID,EntityType,Name,Detail,Price_Quantity,Phone_Status
1,Product,Product_1,Color-Size-Variant,287424,N/A
2,Product,Product_2,Color-Size-Variant,472160,N/A
3,Product,Product_3,Color-Size-Variant,446256,N/A
4,Product,Product_4,Color-Size-Variant,246892,N/A
5,User,User_5,Address_District_4,0,0947359116_Valid
6,User,User_6,Address_District_2,0,0992999925_Valid
7,Order,OrderID_1007,Voucher_Applied_true,4,N/A
8,Product,Product_8,Color-Size-Variant,620227,N/A
9,User,User_9,Address_District_8,0,0950624867_Valid
10,User,User_10,Address_District_0,0,0951877707_Valid
11,Product,Product_11,Color-Size-Variant,703287,N/A
12,Order,OrderID_1012,Voucher_Applied_false,1,N/A
13,User,User_13,Address_District_8,0,0938834895_Valid
14,Product,Product_14,Color-Size-Variant,249195,N/A
15,Product,Product_15,Color-Size-Variant,280056,N/A
16,Product,Product_16,Color-Size-Variant,739520,N/A
17,Product,Product_17,Color-Size-Variant,736006,N/A
18,Order,OrderID_1018,Voucher_Applied_true,1,N/A
19,Product,Product_19,Color-Size-Variant,642663,N/A
20,Order,OrderID_1020,Voucher_Applied_true,5,N/A
21,User,User_21,Address_District_4,0,0979238160_Valid
22,Product,Product_22,Color-Size-Variant,422952,N/A
23,User,User_23,Address_District_5,0,0955445298_Valid
24,User,User_24,Address_District_5,0,0997354768_Valid
25,User,User_25,Address_District_7,0,0984874801_Valid
26,Order,OrderID_1026,Voucher_Applied_true,5,N/A
27,Order,OrderID_1027,Voucher_Applied_true,3,N/A
28,Product,Product_28,Color-Size-Variant,984987,N/A
29,Product,Product_29,Color-Size-Variant,869089,N/A
30,User,User_30,Address_District_3,0,0998655781_Valid
31,User,User_31,Address_District_9,0,0989200381_Valid
32,Product,Product_32,Color-Size-Variant,243936,N/A
33,User,User_33,Address_District_7,0,0914744172_Valid
34,Order,OrderID_1034,Voucher_Applied_false,5,N/A
35,User,User_35,Address_District_0,0,0995762794_Valid
36,User,User_36,Address_District_3,0,0989540045_Valid
37,User,User_37,Address_District_9,0,0948358683_Valid
38,Order,OrderID_1038,Voucher_Applied_true,3,N/A
39,Product,Product_39,Color-Size-Variant,406427,N/A
40,Order,OrderID_1040,Voucher_Applied_true,2,N/A
41,Product,Product_41,Color-Size-Variant,627274,N/A
42,Order,OrderID_1042,Voucher_Applied_true,2,N/A
43,Product,Product_43,Color-Size-Variant,147111,N/A
44,User,User_44,Address_District_3,0,0928169733_Valid
45,User,User_45,Address_District_7,0,0981365356_Valid
